,Name,Team,Position,xG per fixture,xG per game,Team games,Played,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33*,GW33,GW32,GW31*,GW31,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
11,Heung-Min Son,Spurs,Midfielder,31.86842105263158,34.6,38,35,0.0,,38.0,23.0,37.0,45.0,,4.0,,36.0,51.0,,52.0,42.0,22.0,24.0,,40.0,,55.0,8.0,9.0,,58.0,21.0,,0.0,,0.0,,59.0,89.0,48.0,25.0,,,38.0,46.0,,13.0,2.0,18.0,23.0,39.0,71.0,34.0,29.0,0.0,34.0,37.0,41.0
12,Jarrod Bowen,West Ham,Midfielder,31.605263157894736,33.361111111111114,38,36,0.0,,62.0,,23.0,19.0,,2.0,,42.0,2.0,,26.0,0.0,,0.0,,26.0,,25.0,,44.0,,45.0,28.0,,8.0,,51.0,91.0,26.0,59.0,8.0,,31.0,41.0,38.0,27.0,0.0,15.0,20.0,115.0,38.0,64.0,59.0,24.0,64.0,35.0,5.0,6.0,32.0
13,Raheem Sterling,Man City,Midfielder,31.157894736842106,39.46666666666667,38,30,0.0,,0.0,54.0,66.0,58.0,,16.0,,0.0,25.0,,29.0,,,0.0,,0.0,,10.0,,38.0,,137.0,31.0,,27.0,,14.0,,17.0,0.0,89.0,59.0,0.0,55.0,134.0,18.0,12.0,45.0,0.0,4.0,0.0,32.0,6.0,0.0,47.0,11.0,83.0,36.0,31.0
14,Gabriel Fernando de Jesus,Man City,Forward,28.289473684210527,38.392857142857146,38,28,0.0,,65.0,0.0,12.0,56.0,,115.0,,0.0,76.0,,40.0,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,17.0,,0.0,,10.0,61.0,0.0,59.0,0.0,56.0,2.0,65.0,67.0,0.0,29.0,66.0,55.0,0.0,40.0,55.0,28.0,42.0,39.0,20.0,0.0
15,Teemu Pukki,Norwich,Forward,27.605263157894736,28.35135135135135,38,37,0.0,,65.0,27.0,22.0,6.0,,12.0,,48.0,91.0,,7.0,,,41.0,29.0,61.0,,30.0,,20.0,,21.0,37.0,,4.0,,2.0,,8.0,0.0,0.0,,6.0,45.0,29.0,31.0,82.0,56.0,29.0,3.0,0.0,31.0,26.0,22.0,41.0,64.0,36.0,0.0,17.0
16,Leandro Trossard,Brighton,Midfielder,26.842105263157894,30.0,38,34,0.0,,9.0,,71.0,50.0,,12.0,0.0,22.0,19.0,,60.0,,22.0,15.0,,33.0,,14.0,,3.0,2.0,0.0,,,52.0,28.0,50.0,,14.0,0.0,22.0,,29.0,,9.0,12.0,40.0,41.0,72.0,43.0,36.0,40.0,60.0,10.0,30.0,25.0,48.0,19.0,8.0
17,Richarlison de Andrade,Everton,Forward,26.57894736842105,33.666666666666664,38,30,0.0,47.0,43.0,51.0,59.0,42.0,,27.0,,44.0,16.0,111.0,72.0,,4.0,26.0,,10.0,,40.0,,12.0,,36.0,14.0,,34.0,,61.0,,0.0,,,,0.0,2.0,43.0,13.0,0.0,4.0,16.0,47.0,23.0,0.0,0.0,0.0,0.0,20.0,13.0,43.0,37.0
18,Harvey Barnes,Leicester,Midfielder,25.657894736842106,30.46875,38,32,0.0,0.0,42.0,23.0,30.0,0.0,,3.0,35.0,0.0,0.0,,52.0,8.0,,38.0,,58.0,,92.0,,0.0,,65.0,4.0,,23.0,,20.0,,,0.0,0.0,,,7.0,50.0,43.0,37.0,0.0,34.0,100.0,0.0,0.0,22.0,115.0,23.0,6.0,14.0,8.0,23.0
19,Wilfried Zaha,Crystal Palace,Midfielder,25.342105263157894,29.181818181818183,38,33,0.0,17.0,29.0,,44.0,9.0,,112.0,,12.0,84.0,,23.0,,,22.0,,49.0,,37.0,42.0,14.0,,41.0,37.0,,0.0,,0.0,,0.0,0.0,2.0,,37.0,39.0,9.0,29.0,10.0,28.0,29.0,21.0,23.0,0.0,26.0,40.0,14.0,57.0,3.0,2.0,22.0
20,Bernardo Mota Veiga de Carvalho e Silva,Man City,Midfielder,25.0,27.142857142857142,38,35,0.0,,43.0,6.0,0.0,8.0,,0.0,,34.0,6.0,,2.0,,,21.0,,56.0,,50.0,,48.0,,32.0,11.0,,24.0,,10.0,,54.0,4.0,16.0,12.0,8.0,70.0,60.0,27.0,21.0,44.0,41.0,14.0,38.0,65.0,2.0,2.0,8.0,74.0,21.0,18.0,0.0
21,Emmanuel Dennis,Watford,Forward,24.526315789473685,28.242424242424242,38,33,0.0,,0.0,0.0,2.0,37.0,,19.0,,38.0,2.0,,0.0,,,13.0,20.0,58.0,,25.0,35.0,42.0,,15.0,16.0,0.0,10.0,,20.0,,19.0,46.0,,,,29.0,36.0,23.0,60.0,42.0,12.0,0.0,40.0,0.0,35.0,63.0,36.0,7.0,23.0,22.0,87.0
22,Mason Mount,Chelsea,Midfielder,24.5,29.09375,38,32,0.0,,0.0,67.0,0.0,13.0,43.0,50.0,,10.0,59.0,,26.0,,,2.0,47.0,14.0,,,,0.0,,,,,42.0,4.0,0.0,,39.0,35.0,34.0,36.0,86.0,38.0,65.0,23.0,0.0,1.0,0.0,0.0,61.0,6.0,21.0,0.0,38.0,0.0,8.0,34.0,29.0
23,Bryan Mbeumo,Brentford,Midfielder,24.394736842105264,26.485714285714284,38,35,0.0,,13.0,,32.0,31.0,,57.0,,22.0,90.0,,21.0,50.0,,54.0,,51.0,,18.0,,22.0,,23.0,2.0,,18.0,4.0,6.0,41.0,0.0,0.0,4.0,,,31.0,40.0,2.0,21.0,31.0,26.0,0.0,19.0,14.0,48.0,30.0,38.0,17.0,21.0,8.0,22.0
24,Jack Grealish,Man City,Midfielder,24.289473684210527,35.5,38,26,0.0,,101.0,0.0,38.0,16.0,,41.0,,0.0,2.0,,24.0,,,52.0,,32.0,,0.0,,0.0,,0.0,2.0,,42.0,,42.0,,0.0,2.0,0.0,0.0,54.0,34.0,85.0,4.0,0.0,0.0,0.0,42.0,50.0,0.0,18.0,54.0,10.0,32.0,30.0,53.0,63.0
25,Phil Foden,Man City,Midfielder,24.210526315789473,32.857142857142854,38,28,0.0,,0.0,12.0,25.0,14.0,,0.0,,31.0,12.0,,41.0,,,30.0,,39.0,,67.0,,32.0,,81.0,8.0,,53.0,,8.0,,0.0,43.0,0.0,0.0,51.0,35.0,29.0,0.0,0.0,8.0,14.0,4.0,148.0,48.0,62.0,4.0,21.0,0.0,0.0,0.0,0.0
26,Raphael Dias Belloli,Leeds,Midfielder,22.94736842105263,24.914285714285715,38,35,0.0,,18.0,6.0,2.0,28.0,,22.0,,,26.0,,26.0,0.0,,40.0,6.0,65.0,,29.0,7.0,35.0,,2.0,4.0,,43.0,,23.0,,49.0,,,32.0,4.0,60.0,5.0,27.0,12.0,0.0,23.0,61.0,16.0,0.0,22.0,23.0,64.0,4.0,26.0,46.0,16.0
27,Kai Havertz,Chelsea,Midfielder,22.5,29.482758620689655,38,29,0.0,,2.0,0.0,4.0,8.0,70.0,20.0,,0.0,36.0,,57.0,,,57.0,79.0,76.0,,,,14.0,,,,,0.0,0.0,0.0,,24.0,0.0,0.0,0.0,0.0,51.0,41.0,25.0,0.0,8.0,51.0,39.0,39.0,0.0,0.0,2.0,27.0,8.0,35.0,80.0,2.0
28,Bruno Miguel Borges Fernandes,Man Utd,Midfielder,22.44736842105263,23.694444444444443,38,36,0.0,,,,22.0,34.0,21.0,20.0,2.0,29.0,22.0,,49.0,,,0.0,,14.0,,80.0,,32.0,65.0,8.0,53.0,,7.0,25.0,26.0,,11.0,0.0,2.0,,,6.0,26.0,37.0,1.0,5.0,8.0,4.0,4.0,11.0,8.0,43.0,38.0,29.0,23.0,29.0,59.0
29,Kevin De Bruyne,Man City,Midfielder,22.236842105263158,28.166666666666668,38,30,0.0,,44.0,67.0,7.0,0.0,,24.0,,18.0,17.0,,19.0,,,36.0,,96.0,,20.0,,10.0,,0.0,23.0,,29.0,,43.0,,3.0,15.0,47.0,18.0,81.0,4.0,3.0,0.0,0.0,0.0,49.0,24.0,4.0,23.0,55.0,49.0,10.0,0.0,0.0,0.0,7.0
30,Allan Saint-Maximin,Newcastle,Forward,22.13157894736842,24.02857142857143,38,35,0.0,,17.0,,9.0,3.0,,9.0,23.0,17.0,35.0,,10.0,,7.0,0.0,0.0,18.0,,0.0,,0.0,,29.0,66.0,,25.0,,25.0,,,,88.0,1.0,9.0,49.0,47.0,6.0,23.0,63.0,0.0,18.0,4.0,2.0,45.0,38.0,88.0,12.0,31.0,14.0,10.0
31,Philippe Coutinho Correia,Aston Villa,Midfielder,22.05263157894737,22.05263157894737,19,19,0.0,15.0,30.0,5.0,0.0,53.0,,2.0,,,18.0,,25.0,9.0,,42.0,45.0,46.0,,8.0,,21.0,,14.0,20.0,,22.0,,44.0,,,,,,,,,,,,,,,,,,,,,,
32,Chris Wood,Newcastle,Forward,21.77777777777778,23.058823529411764,36,34,0.0,,0.0,,17.0,0.0,,0.0,4.0,15.0,19.0,,8.0,,27.0,4.0,21.0,2.0,,78.0,,8.0,,7.0,41.0,,50.0,,51.0,,39.0,41.0,,,,9.0,0.0,6.0,,17.0,6.0,76.0,19.0,4.0,35.0,8.0,6.0,45.0,61.0,35.0,25.0
33,Riyad Mahrez,Man City,Midfielder,21.42105263157895,29.071428571428573,38,28,0.0,,61.0,2.0,0.0,0.0,,11.0,,51.0,4.0,,0.0,,,58.0,,95.0,,2.0,,37.0,,29.0,25.0,,0.0,,0.0,,41.0,0.0,58.0,27.0,72.0,0.0,2.0,37.0,29.0,17.0,0.0,4.0,19.0,45.0,0.0,0.0,14.0,0.0,29.0,27.0,18.0
34,Daniel James,Leeds,Midfielder,21.31578947368421,23.823529411764703,38,34,0.0,,0.0,4.0,2.0,38.0,,2.0,,,2.0,,49.0,46.0,,21.0,10.0,20.0,,8.0,0.0,6.0,,6.0,74.0,,62.0,,41.0,,21.0,,,0.0,0.0,8.0,6.0,56.0,15.0,108.0,28.0,26.0,2.0,6.0,28.0,36.0,26.0,2.0,8.0,0.0,43.0
35,Dejan Kulusevski,Spurs,Midfielder,21.22222222222222,21.22222222222222,18,18,0.0,,2.0,12.0,7.0,4.0,,42.0,,2.0,23.0,,10.0,44.0,40.0,10.0,,25.0,,78.0,42.0,17.0,,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Che Adams,Southampton,Forward,21.05263157894737,26.666666666666668,38,30,0.0,,2.0,,0.0,37.0,,2.0,35.0,0.0,37.0,,37.0,,,25.0,24.0,24.0,,97.0,,53.0,,21.0,66.0,,0.0,,17.0,,17.0,0.0,0.0,,0.0,0.0,29.0,71.0,4.0,42.0,25.0,32.0,4.0,0.0,0.0,38.0,6.0,0.0,33.0,12.0,10.0
37,Joao Pedro Cavaco Cancelo,Man City,Defender,20.973684210526315,22.13888888888889,38,36,0.0,,8.0,30.0,40.0,45.0,,22.0,,13.0,22.0,,12.0,,,5.0,,23.0,,19.0,,31.0,,0.0,67.0,,19.0,,12.0,,21.0,2.0,5.0,34.0,0.0,22.0,14.0,25.0,26.0,10.0,37.0,44.0,37.0,67.0,0.0,12.0,11.0,16.0,23.0,11.0,12.0
38,Timo Werner,Chelsea,Forward,20.342105263157894,36.80952380952381,38,21,0.0,,0.0,0.0,50.0,19.0,23.0,86.0,,35.0,115.0,,24.0,,,24.0,26.0,2.0,,,,0.0,,,,,0.0,24.0,20.0,,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,15.0,118.0,40.0,23.0,0.0,0.0,0.0,26.0
39,James Maddison,Leicester,Midfielder,19.81578947368421,21.514285714285712,38,35,0.0,7.0,18.0,59.0,0.0,0.0,,14.0,84.0,0.0,30.0,,2.0,15.0,,2.0,,0.0,,9.0,,12.0,,4.0,26.0,,58.0,,51.0,,,4.0,56.0,,,24.0,44.0,42.0,44.0,14.0,2.0,17.0,25.0,30.0,19.0,4.0,8.0,2.0,15.0,10.0,2.0
40,Danny Ings,Aston Villa,Forward,19.710526315789473,24.966666666666665,38,30,0.0,20.0,12.0,33.0,23.0,60.0,,0.0,,,101.0,,0.0,10.0,,23.0,5.0,38.0,,4.0,,32.0,,6.0,0.0,,0.0,,4.0,,79.0,,44.0,,4.0,24.0,0.0,0.0,0.0,4.0,0.0,0.0,20.0,38.0,37.0,8.0,10.0,26.0,27.0,32.0,25.0
41,Raul Jimenez,Wolves,Forward,19.526315789473685,21.823529411764707,38,34,0.0,,7.0,13.0,7.0,0.0,,23.0,,,0.0,,0.0,12.0,,36.0,21.0,2.0,,10.0,8.0,8.0,,59.0,48.0,,0.0,,37.0,,25.0,,,6.0,0.0,8.0,0.0,23.0,16.0,17.0,31.0,47.0,31.0,2.0,5.0,64.0,8.0,10.0,54.0,86.0,18.0
42,Said Benrahma,West Ham,Midfielder,19.394736842105264,23.03125,38,32,0.0,,0.0,,38.0,22.0,,8.0,,48.0,10.0,,18.0,21.0,,38.0,,4.0,,0.0,,4.0,,26.0,29.0,,0.0,,0.0,0.0,25.0,26.0,26.0,,8.0,60.0,0.0,3.0,17.0,2.0,8.0,9.0,47.0,24.0,41.0,27.0,25.0,16.0,17.0,30.0,60.0
43,Demarai Gray,Everton,Midfielder,19.236842105263158,21.5,38,34,0.0,0.0,2.0,17.0,3.0,27.0,,19.0,,14.0,4.0,26.0,15.0,,16.0,33.0,,0.0,,0.0,,0.0,,0.0,0.0,,34.0,,31.0,,63.0,,,,0.0,22.0,15.0,42.0,11.0,18.0,60.0,32.0,6.0,27.0,19.0,26.0,37.0,44.0,41.0,25.0,2.0
44,Ilkay Gundogan,Man City,Midfielder,19.157894736842106,26.962962962962962,38,27,0.0,,0.0,0.0,39.0,29.0,,2.0,,42.0,0.0,,38.0,,,0.0,,6.0,,2.0,,58.0,,32.0,0.0,,0.0,,0.0,,0.0,0.0,30.0,0.0,26.0,35.0,55.0,0.0,70.0,26.0,19.0,0.0,33.0,0.0,0.0,0.0,8.0,87.0,51.0,8.0,32.0
45,Alexandre Lacazette,Arsenal,Forward,19.05263157894737,24.133333333333333,38,30,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,,17.0,30.0,12.0,50.0,,16.0,,,110.0,47.0,,,97.0,,32.0,,,,12.0,,28.0,62.0,59.0,27.0,2.0,0.0,8.0,0.0,31.0,8.0,10.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Jamie Vardy,Leicester,Forward,19.0,28.88,38,25,0.0,0.0,40.0,106.0,6.0,10.0,,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,4.0,,25.0,,0.0,,0.0,0.0,,0.0,,0.0,,,42.0,0.0,,,0.0,0.0,18.0,74.0,8.0,8.0,14.0,0.0,46.0,43.0,110.0,61.0,10.0,36.0,0.0,59.0
47,Armando Broja,Southampton,Forward,18.94736842105263,22.5,38,32,0.0,,6.0,,51.0,0.0,,0.0,26.0,26.0,0.0,,15.0,,,6.0,21.0,10.0,,31.0,,58.0,,27.0,62.0,,25.0,,23.0,,23.0,20.0,6.0,,30.0,4.0,67.0,2.0,19.0,2.0,2.0,0.0,41.0,70.0,0.0,0.0,10.0,37.0,0.0,0.0,0.0
48,Mohamed Elyounoussi,Southampton,Midfielder,18.92105263157895,23.966666666666665,38,30,0.0,,0.0,,7.0,0.0,,0.0,4.0,42.0,2.0,,57.0,,,57.0,68.0,4.0,,50.0,,41.0,,4.0,38.0,,0.0,,0.0,,0.0,0.0,26.0,,0.0,0.0,2.0,3.0,0.0,32.0,12.0,20.0,10.0,24.0,0.0,33.0,38.0,56.0,89.0,0.0,0.0
49,Romelu Lukaku,Chelsea,Forward,18.526315789473685,27.076923076923077,38,26,0.0,,30.0,66.0,73.0,0.0,0.0,22.0,,6.0,0.0,,4.0,,,2.0,18.0,0.0,,,,0.0,,,,,47.0,37.0,9.0,,0.0,55.0,27.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,13.0,8.0,63.0,36.0,37.0,128.0,0.0
50,Gabriel Teodoro Martinelli Silva,Arsenal,Midfielder,18.210526315789473,23.862068965517242,38,29,0.0,,6.0,8.0,50.0,5.0,,0.0,2.0,44.0,75.0,,8.0,0.0,14.0,45.0,,39.0,,,35.0,0.0,,,4.0,,34.0,,,,36.0,,35.0,48.0,70.0,11.0,4.0,32.0,41.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0
51,Joshua King,Watford,Forward,18.210526315789473,21.625,38,32,0.0,,0.0,0.0,7.0,0.0,,2.0,,9.0,0.0,,0.0,,,4.0,8.0,0.0,,20.0,8.0,20.0,,14.0,8.0,46.0,13.0,,32.0,,11.0,32.0,,,,18.0,8.0,8.0,60.0,98.0,43.0,12.0,122.0,0.0,2.0,23.0,39.0,19.0,4.0,2.0,0.0
52,Tomas Soucek,West Ham,Midfielder,18.05263157894737,19.6,38,35,0.0,,8.0,,0.0,2.0,,18.0,,40.0,21.0,,0.0,0.0,,6.0,,14.0,,40.0,,22.0,,4.0,67.0,,11.0,,0.0,0.0,2.0,20.0,42.0,,6.0,44.0,10.0,35.0,4.0,13.0,4.0,36.0,15.0,4.0,10.0,17.0,6.0,14.0,29.0,29.0,93.0
53,Bruno Guimaraes Rodriguez Moura,Newcastle,Midfielder,17.705882352941178,17.705882352941178,17,17,0.0,,25.0,,5.0,7.0,,17.0,7.0,118.0,18.0,,2.0,,28.0,6.0,43.0,2.0,,23.0,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Neal Maupay,Brighton,Forward,17.68421052631579,21.000000000000004,38,32,0.0,,0.0,,0.0,0.0,,4.0,0.0,0.0,0.0,,27.0,,38.0,9.0,,32.0,,13.0,,22.0,8.0,54.0,,,23.0,20.0,10.0,,9.0,47.0,27.0,,0.0,,58.0,31.0,39.0,0.0,2.0,0.0,0.0,19.0,10.0,17.0,37.0,8.0,15.0,19.0,74.0
55,Conor Gallagher,Crystal Palace,Midfielder,17.657894736842106,19.735294117647058,38,34,0.0,0.0,37.0,,1.0,11.0,,46.0,,0.0,2.0,,2.0,,,6.0,,26.0,,2.0,19.0,0.0,,0.0,28.0,,13.0,,17.0,,0.0,0.0,4.0,,8.0,66.0,1.0,28.0,4.0,23.0,24.0,34.0,14.0,15.0,35.0,26.0,8.0,92.0,54.0,25.0,0.0
56,Odsonne Edouard,Crystal Palace,Forward,17.428571428571427,21.785714285714285,35,28,0.0,0.0,0.0,,33.0,0.0,,0.0,,40.0,0.0,,0.0,,,18.0,,0.0,,0.0,0.0,0.0,,4.0,0.0,,50.0,,0.0,,59.0,79.0,2.0,,59.0,32.0,0.0,0.0,17.0,0.0,60.0,0.0,30.0,25.0,20.0,17.0,31.0,34.0,,,
57,Wout Weghorst,Burnley,Forward,17.142857142857142,18.0,21,20,0.0,18.0,4.0,,20.0,12.0,,66.0,34.0,41.0,22.0,7.0,0.0,,,0.0,,18.0,13.0,17.0,5.0,19.0,,19.0,19.0,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
58,Jack Harrison,Leeds,Midfielder,17.026315789473685,18.485714285714284,38,35,0.0,,52.0,2.0,2.0,2.0,,21.0,,,17.0,,29.0,28.0,,29.0,2.0,33.0,,28.0,4.0,4.0,,14.0,4.0,,30.0,,78.0,,54.0,,,0.0,41.0,37.0,2.0,0.0,8.0,6.0,30.0,26.0,4.0,24.0,0.0,14.0,0.0,4.0,6.0,5.0,7.0
59,Anthony Gordon,Everton,Midfielder,16.63157894736842,18.057142857142857,38,35,0.0,8.0,23.0,15.0,22.0,25.0,,10.0,,10.0,29.0,53.0,0.0,,17.0,4.0,,10.0,,15.0,,10.0,,67.0,25.0,,10.0,,24.0,,52.0,,,,13.0,17.0,20.0,0.0,36.0,20.0,22.0,35.0,38.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
60,Maxwel Cornet,Burnley,Midfielder,15.628571428571428,21.03846153846154,35,26,0.0,10.0,23.0,,19.0,0.0,,0.0,24.0,39.0,40.0,44.0,0.0,,,25.0,,14.0,26.0,0.0,0.0,26.0,,19.0,4.0,40.0,0.0,,,,24.0,0.0,,,,0.0,26.0,4.0,,19.0,23.0,7.0,26.0,23.0,0.0,23.0,19.0,0.0,,,
61,Martin Ødegaard,Arsenal,Midfielder,15.45945945945946,15.88888888888889,37,36,0.0,,22.0,36.0,30.0,0.0,,8.0,0.0,10.0,36.0,,13.0,12.0,17.0,2.0,,19.0,,,24.0,61.0,,,0.0,,27.0,,,,4.0,,24.0,17.0,15.0,56.0,53.0,17.0,19.0,0.0,14.0,4.0,7.0,0.0,2.0,4.0,15.0,4.0,0.0,0.0,
62,Joao Pedro Junqueira de Jesus,Watford,Forward,15.447368421052632,20.964285714285715,38,28,0.0,,93.0,4.0,0.0,20.0,,4.0,,28.0,1.0,,4.0,,,33.0,0.0,4.0,,0.0,0.0,0.0,,0.0,6.0,71.0,42.0,,89.0,,20.0,37.0,,,,0.0,24.0,24.0,13.0,42.0,0.0,0.0,10.0,8.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
63,Joelinton Cassio Apolinario de Lira,Newcastle,Forward,15.342105263157896,16.65714285714286,38,35,0.0,,23.0,,2.0,4.0,,57.0,30.0,13.0,13.0,,2.0,,14.0,0.0,0.0,0.0,,39.0,,40.0,,6.0,23.0,,32.0,,25.0,,,,11.0,5.0,0.0,13.0,10.0,4.0,2.0,64.0,4.0,0.0,2.0,8.0,36.0,19.0,30.0,27.0,6.0,19.0,0.0
64,Pierre-Emerick Aubameyang,Arsenal,Forward,15.31578947368421,41.57142857142857,38,14,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,22.0,70.0,30.0,17.0,35.0,52.0,68.0,35.0,38.0,75.0,18.0,103.0,0.0,19.0,0.0
65,Rodrigo Moreno,Leeds,Forward,15.289473684210526,18.741935483870968,38,31,0.0,,54.0,0.0,17.0,6.0,,4.0,,,20.0,,6.0,47.0,,17.0,2.0,27.0,,29.0,0.0,8.0,,13.0,6.0,,29.0,,20.0,,0.0,,,0.0,0.0,0.0,0.0,40.0,7.0,0.0,54.0,26.0,40.0,0.0,16.0,52.0,22.0,17.0,2.0,0.0,0.0
66,Emile Smith Rowe,Arsenal,Midfielder,15.157894736842104,17.454545454545453,38,33,0.0,,0.0,0.0,0.0,2.0,,0.0,19.0,37.0,24.0,,17.0,20.0,20.0,19.0,,0.0,,,0.0,25.0,,,2.0,,41.0,,,,0.0,,33.0,19.0,14.0,0.0,0.0,7.0,53.0,0.0,11.0,17.0,39.0,15.0,19.0,21.0,21.0,19.0,6.0,31.0,25.0
